time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-01-14 13:16:31.229 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,389791154176,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,4,55053968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:17:31.232 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,389552996352,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,3,54980096, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:18:31.234 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,389423235072,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,2,105623544, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:19:31.237 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,389267128320,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,4,78331280, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:20:31.239 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,389122097152,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,1,116093744, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:21:31.242 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,388922212352,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,4,84825440, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:22:31.244 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,388756733952,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,109991264,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:23:31.245 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,388216061952,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,2,3,69784568,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:24:31.248 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,388012703744,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,101241848,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:25:31.251 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,387845980160,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,124310520,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:26:31.254 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,387633184768,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,153670648,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:27:31.258 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,387504472064,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,1,74004576, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:28:31.261 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,387236233216,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,94976096, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:29:31.263 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,386913730560,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,111753312, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:30:31.266 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,386814312448,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,124336224, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:31:31.269 UTC, , , , , , , , , ,125,3173133,27168,112, ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,386676424704,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,136919136, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-14 13:32:14.523 UTC, , , , , , , , , ,125,3173021,27168, , ,4, , , , , , , , , , , ,4,4, , , ,3,1,4, , , , , , , , , , , , , , , , ,13716,2, ,11341, , , , ,13763,386595880960,61,61,61,61, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13763,1736858490842,,, , , , , , , , , ,3145728,13716, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,149502048, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-01-18 11:08:41.995 UTC, , , , , , , , , ,125,3160661,14728,80, ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,3, ,24,13, , , , , , , , , , , , , ,13716,2, ,11341, , , , , , ,-1,-1,-1,-1, , , , , ,2,116, , , , , , , , , , , , , , , , , , , , , , , , , , ,1737198521953,,, , , , , , , , , ,3145728,13716, , , , , , ,21, , ,3, , ,3, , ,21,1,2048,1, , , , , ,121556,35, , , , , , , , ,16,38,163464912,2, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
